,post_cum_y,preds,post_preds,post_preds_lower,post_preds_upper,preds_lower,preds_upper,post_cum_pred,post_cum_pred_lower,post_cum_pred_upper,point_effects,point_effects_lower,point_effects_upper,post_cum_effects,post_cum_effects_lower,post_cum_effects_upper
2016-07-10,,120.24798274819472,,,,111.31190174859266,129.18406374779676,,,,-1.2479827481947154,-10.184063747796756,7.6880982514073395,,,
2016-07-17,,120.21114228127428,,,,111.27673813547273,129.14554642707583,,,,-1.2111422812742774,-10.145546427075828,7.723261864527274,,,
2016-07-24,,120.17583059275951,,,,111.24300664141576,129.10865454410327,,,,-1.1758305927595103,-10.108654544103274,7.756993358584239,,,
2016-07-31,,120.1419523507896,,,,111.21061857690084,129.07328612467836,,,,-1.1419523507895946,-10.073286124678361,7.789381423099158,,,
2016-08-07,,120.10942033186492,,,,111.17949279903546,129.03934786469438,,,,4.890579668135075,-4.039347864694378,13.820507200964542,,,
2016-08-14,,120.24724698276204,,,,111.31864733138653,129.17584663413754,,,,-0.24724698276203583,-9.175846634137542,8.68135266861347,,,
2016-08-21,,120.24035052637151,,,,111.31300552068488,129.16769553205816,,,,-1.2403505263715147,-10.167695532058161,7.686994479315118,,,
2016-08-28,,120.20609238378118,,,,111.27993350370802,129.13225126385436,,,,-2.2060923837811828,-11.132251263854357,6.720066496291977,,,
2016-09-04,,120.14573085925524,,,,111.22069393182123,129.07076778668926,,,,-1.145730859255238,-10.07076778668926,7.779306068178769,,,
2016-09-11,,120.11466238174904,,,,111.19068724751834,129.03863751597976,,,,-0.7813290484157278,-9.705304182646444,8.142646085814974,,,
2016-09-18,,120.0936561880757,,,,111.17068639867517,129.01662597747622,,,,-0.09365618807569831,-9.016625977476224,8.829313601324827,,,
2016-09-25,,120.09115876013367,,,,111.16914130343345,129.01317621683387,,,,-0.0911587601336663,-9.01317621683387,8.830858696566551,,,
2016-10-02,,120.0887468709732,,,,111.16763192092766,129.00986182101875,,,,-3.0887468709731962,-12.009861821018745,5.832368079072339,,,
2016-10-09,,120.00763288764468,,,,111.08737357617105,128.9278921991183,,,,-0.007632887644675179,-8.927892199118304,8.912626423828954,,,
2016-10-16,,120.00743386530915,,,,111.0879860739019,128.9268816567164,,,,-5.007433865309153,-13.926881656716404,3.9120139260980977,,,
2016-10-23,,119.87775591183211,,,,110.95907808088775,128.79643374277646,,,,-5.877755911832111,-14.796433742776458,3.0409219191122503,,,
2016-10-30,,119.72652778046695,,,,110.80858073453352,128.64447482640037,,,,-6.226527780466952,-15.14447482640037,2.691419265466479,,,
2016-11-06,,119.56732039244297,,,,110.6500671798157,128.4845736050702,,,,-9.567320392442966,-18.48457360507021,-0.650067179815693,,,
2016-11-13,,119.32414239676501,,,,110.40754814203041,128.24073665149962,,,,-10.824142396765012,-19.740736651499617,-1.9075481420304072,,,
