,ds,yhat,yhat_lower,yhat_upper
64,2016-07-31,120.72204684972952,117.71078584318066,123.85781812941318
65,2016-08-07,130.10096380487872,127.37746360681471,132.85814996285907
66,2016-08-14,123.22280787013763,120.2110499200567,126.2322577692056
67,2016-08-21,122.90708772605296,119.96241871284009,125.80144216617936
68,2016-08-28,121.67144600794032,118.79725931245366,124.34279268690369
69,2016-09-04,122.6360832780789,119.80861089286314,125.37956332541495
70,2016-09-11,121.21631903586481,118.36533207400872,124.2013514210262
71,2016-09-18,121.32912101052918,118.36817461193206,124.35544363769287
72,2016-09-25,119.38080811921513,116.4337830784488,122.3916432455518
73,2016-10-02,118.44501510214963,115.50846060241349,121.56132472442609
74,2016-10-09,126.01238856435972,123.13959740918823,129.0313983169543
75,2016-10-16,119.03019049776296,116.12896815171854,122.10706101559869
76,2016-10-23,116.09636067608042,113.36342253767042,119.03352849311588
77,2016-10-30,112.3786065745753,109.47284486125339,115.2447260918101
78,2016-11-06,112.40850929549637,109.56670097991913,115.35193052766881
79,2016-11-13,109.0715577992271,106.04458226108538,111.81922862245958
80,2016-11-20,108.061360027293,105.25783128428331,110.97336278768515
81,2016-11-27,105.2612187894458,102.31095548736872,108.25077369878605
82,2016-12-04,103.66899029409305,100.80310047179437,106.48051826581612
83,2016-12-11,101.74428566549327,98.82108607030938,104.89566564074792
84,2016-12-18,102.71482812967521,99.80331227078375,105.52780293003615
85,2016-12-25,103.03181210370172,100.25165743671471,105.7980278433034
86,2017-01-01,105.02923496989082,101.96891151015869,107.85454465688782
87,2017-01-08,102.71265815086288,99.91283773908393,105.76180093456435
88,2017-01-15,101.49753250372005,98.53327790001131,104.36183075331877
89,2017-01-22,101.43154119633,98.49743956644252,104.24128062983891
90,2017-01-29,101.84467132645796,98.81636900456704,104.67367827885926
91,2017-02-05,104.54626691205783,101.61649408217978,107.40077184435131
92,2017-02-12,101.76314989041092,98.86965043195048,104.60927560150216
93,2017-02-19,100.9804919065554,97.92123590984865,103.80368005988322
94,2017-02-26,99.93336122308818,97.21619795059998,102.80802930285748
95,2017-03-05,101.88194490489792,99.29680068241615,104.83864910564321
96,2017-03-12,104.45959807195736,101.45892979226966,107.37392641751279
97,2017-03-19,107.14495900807331,104.11094477639423,110.24760081474457
98,2017-03-26,106.72089358234663,103.95420840858588,109.48805533996749
99,2017-04-02,105.8342479542283,103.22068470708153,108.77561416167957
100,2017-04-09,108.32908012192577,105.46188370802943,111.24583031608813
101,2017-04-16,107.76636708053056,104.87132413042502,110.71742594751879
102,2017-04-23,107.82097453824227,105.05109266535129,110.85450035495111
103,2017-04-30,107.51424937940095,104.59764632168262,110.46696569653032
104,2017-05-07,110.33950192370088,107.50020750816343,113.2871361876008
105,2017-05-14,110.18789946135064,107.36938159625352,113.14416688859282
106,2017-05-21,112.68490875556391,109.74728700951978,115.59006807694713
107,2017-05-28,113.0174858963923,110.18347836005591,116.02615045362616
