date,date,Portland_avg_price,SF_avg_price
2016-05-29,2016-05-29,70.23696052362446,146.27059240028322
2016-06-05,2016-06-05,71.20789685737309,147.3448439652306
2016-06-12,2016-06-12,71.6459502229895,149.5608053691275
2016-06-19,2016-06-19,71.64708652940385,149.86549860529985
2016-06-26,2016-06-26,71.48912003062982,150.42520107238605
2016-07-03,2016-07-03,71.750904359967,149.19124686573969
2016-07-10,2016-07-10,73.71561488673139,149.96091123066577
2016-07-17,2016-07-17,73.0632008154944,151.3290289695013
2016-07-24,2016-07-24,73.33357163282814,149.85187696972116
2016-07-31,2016-07-31,73.3542228678149,150.5689528023599
2016-08-07,2016-08-07,74.76423284291327,162.03028854770298
2016-08-14,2016-08-14,74.53855319148936,152.8040579710145
2016-08-21,2016-08-21,74.56833746175143,149.28453829634933
2016-08-28,2016-08-28,74.27935574416895,147.70797648425025
2016-09-04,2016-09-04,74.50781364101066,148.83862529679263
2016-09-11,2016-09-11,74.31447767663633,148.70027236879548
2016-09-18,2016-09-18,74.05316281110902,149.6601849860185
2016-09-25,2016-09-25,73.66688446688447,149.74331146889287
2016-10-02,2016-10-02,73.1326519634212,147.59259689022974
2016-10-09,2016-10-09,72.89245054501413,162.11058043490476
2016-10-16,2016-10-16,73.2475906379073,143.7540717187776
2016-10-23,2016-10-23,73.06874304783092,142.73322901074977
2016-10-30,2016-10-30,72.973044853364,140.91223812741904
2016-11-06,2016-11-06,72.6192497532083,138.43423785815557
2016-11-13,2016-11-13,72.05399414841742,136.45066416533027
2016-11-20,2016-11-20,71.48926052151859,135.40045863767622
2016-11-27,2016-11-27,71.93307152406418,135.93234510515276
2016-12-04,2016-12-04,70.89748502994011,133.46302278878898
2016-12-11,2016-12-11,68.58587956096113,133.69197915776886
2016-12-18,2016-12-18,68.05077227722772,135.18153323373465
2016-12-25,2016-12-25,69.05809164235455,134.0295920581534
2017-01-01,2017-01-01,69.78765474552958,135.7508136451302
2017-01-08,2017-01-08,68.29125934445084,131.96027257428202
2017-01-15,2017-01-15,68.09675366008912,131.1487758409873
2017-01-22,2017-01-22,67.84314550042052,131.09205541725294
2017-01-29,2017-01-29,67.41098124490351,130.65623828681376
2017-02-05,2017-02-05,67.32832809347285,131.60798444976078
2017-02-12,2017-02-12,67.19960793357933,131.43282155109387
2017-02-19,2017-02-19,66.81840229657493,132.22081098357467
2017-02-26,2017-02-26,66.5511603871089,131.75462466312567
2017-03-05,2017-03-05,66.60030920334667,133.73094133919128
2017-03-12,2017-03-12,67.33359592215014,132.77692751949178
2017-03-19,2017-03-19,67.35160971321832,132.90955364134692
