date,date,Portland_avg_price,SF_avg_price
2016-12-04,2016-12-04,67.6192916217188,119.20704705130935
2016-12-11,2016-12-11,65.68771539744303,118.86640915892403
2016-12-18,2016-12-18,65.0,120.69614928270953
2016-12-25,2016-12-25,65.76391461156058,118.9063470627954
2017-01-01,2017-01-01,66.80490186505224,120.02790503956685
2017-01-08,2017-01-08,65.03622140415462,117.06001388406803
2017-01-15,2017-01-15,64.59852825525222,117.09160737673002
2017-01-22,2017-01-22,64.34357736658622,116.66162147487019
2017-01-29,2017-01-29,64.01271010583109,115.65102015270998
2017-02-05,2017-02-05,63.89258064516129,115.96234797996912
2017-02-12,2017-02-12,63.81534279273306,116.57277523742526
2017-02-19,2017-02-19,63.51539293233938,116.62735668234885
2017-02-26,2017-02-26,63.04910302964609,116.118538938663
2017-03-05,2017-03-05,63.193120033458804,118.14699232666484
2017-03-12,2017-03-12,64.00452247938281,118.00676880526947
2017-03-19,2017-03-19,64.10358363935671,118.07186807777504
2017-03-26,2017-03-26,64.15550313489354,118.02384671456836
2017-04-02,2017-04-02,64.05411146514618,118.42751341681574
2017-04-09,2017-04-09,64.74078196744121,121.17703716331401
2017-04-16,2017-04-16,65.10618634477555,120.11120430025542
2017-04-23,2017-04-23,64.94115181992338,119.38063396826544
2017-04-30,2017-04-30,64.60081041968162,118.75445676586187
2017-05-07,2017-05-07,65.14854992251495,121.8659399054429
2017-05-14,2017-05-14,65.87322573260073,123.28451670265464
2017-05-21,2017-05-21,65.89658317547183,124.06825061160177
2017-05-28,2017-05-28,66.37746759720838,123.32489249880554
2017-06-04,2017-06-04,67.12220488819553,125.302416570771
2017-06-11,2017-06-11,69.00886106820583,126.43239939827002
2017-06-18,2017-06-18,68.76722017220172,127.10877621113521
2017-06-25,2017-06-25,68.76894400486914,128.80745030093016
2017-07-02,2017-07-02,69.01449486488455,127.26437083771468
2017-07-09,2017-07-09,70.52349392471749,129.80344688163348
2017-07-16,2017-07-16,70.37521968365553,131.23797048759624
2017-07-23,2017-07-23,71.04158582876424,132.0185644217077
2017-07-30,2017-07-30,70.60823296485728,131.96371488136603
2017-08-06,2017-08-06,71.24139626352016,132.97212406753042
2017-08-13,2017-08-13,72.92486096319962,138.92985701074198
2017-08-20,2017-08-20,73.14236622484046,129.7354706253948
2017-08-27,2017-08-27,72.87436316447179,128.9496062253891
2017-09-03,2017-09-03,71.86038608921987,128.27014294127093
2017-09-10,2017-09-10,71.54148746459667,128.77545289356314
2017-09-17,2017-09-17,71.04869958537505,129.28844102621682
2017-09-24,2017-09-24,70.6195303813199,127.39616392308072
2017-10-01,2017-10-01,70.06109892787525,126.51252959747436
2017-10-08,2017-10-08,69.38378529885783,135.9201756280141
2017-10-15,2017-10-15,69.01424351821464,126.88982881169287
2017-10-22,2017-10-22,68.53534141365655,125.92234164390803
2017-10-29,2017-10-29,68.42450403064433,124.71635780909726
2017-11-05,2017-11-05,69.83034933224471,126.49892230319203
2017-11-12,2017-11-12,71.7966704380152,132.71755961598018
2017-11-19,2017-11-19,69.30965860353406,121.77317134268537
2017-11-26,2017-11-26,69.64108101437651,121.47261170312208
2017-12-03,2017-12-03,68.32540591174022,120.07155776622201
2017-12-10,2017-12-10,67.53623467179611,119.40414260740583
2017-12-17,2017-12-17,65.88994579657775,118.52399019654051
2017-12-24,2017-12-24,66.39523578026252,118.94303268616368
2017-12-31,2017-12-31,67.53753563509662,123.31691625373011
2018-01-07,2018-01-07,63.77652482269504,119.99710510917434
2018-01-14,2018-01-14,62.10754462276886,119.53872035451487
2018-01-21,2018-01-21,62.254005340453936,117.65443214832229
2018-01-28,2018-01-28,61.94804935311454,117.50995103293192
2018-02-04,2018-02-04,62.00732369773984,117.23232064165637
2018-02-11,2018-02-11,62.2903034180223,116.94815094136342
2018-02-18,2018-02-18,62.302993130520115,117.53501536010923
2018-02-25,2018-02-25,61.64486958339867,116.39159952450139
2018-03-04,2018-03-04,62.01146046140814,117.91800409306333
2018-03-11,2018-03-11,62.69213169642857,120.02981432360743
2018-03-18,2018-03-18,62.68069233064757,120.96209994385177
2018-03-25,2018-03-25,62.5960667903525,124.47034992431662
2018-04-01,2018-04-01,62.89646297521877,120.78885432672489
2018-04-08,2018-04-08,62.49191572758452,122.89663905068558
2018-04-15,2018-04-15,62.729601236108635,122.35990052108005
2018-04-22,2018-04-22,62.94989408505785,126.00503982080637
2018-04-29,2018-04-29,63.272039667198925,126.12685733437604
2018-05-06,2018-05-06,63.55417235563409,129.55254755886656
2018-05-13,2018-05-13,63.70825098814229,134.07250900360145
2018-05-20,2018-05-20,65.01328134519312,136.6934634314826
2018-05-27,2018-05-27,65.22039180765806,138.35376634762915
2018-06-03,2018-06-03,66.33144309737975,136.20514172709295
2018-06-10,2018-06-10,67.08469626168224,139.40199235258603
2018-06-17,2018-06-17,67.53104884513442,140.12181836188967
2018-06-24,2018-06-24,68.37110858010631,143.22997153314356
2018-07-01,2018-07-01,68.14304560874481,138.4324008275614
2018-07-08,2018-07-08,69.45465168539326,142.9939720129171
2018-07-15,2018-07-15,69.55777777777777,150.19971079691516
2018-07-22,2018-07-22,69.87573721025922,150.0802095269275
2018-07-29,2018-07-29,70.5971401559915,150.5471929019428
2018-08-05,2018-08-05,69.91848341232227,148.15542802486848
2018-08-12,2018-08-12,69.89470176607797,169.1759749638902
2018-08-19,2018-08-19,70.74608883294371,157.98715203426124
2018-08-26,2018-08-26,70.38569003786395,157.901269393512
2018-09-02,2018-09-02,70.01949527568473,153.37748592870545
2018-09-09,2018-09-09,66.93192692474989,153.1145521528897
2018-09-16,2018-09-16,67.40378464818764,151.40627349876465
2018-09-23,2018-09-23,67.26780326948713,152.41956735496558
2018-09-30,2018-09-30,66.25377821393523,158.6099787039854
2018-10-07,2018-10-07,65.56658776628878,149.8187279883986
2018-10-14,2018-10-14,65.10520247874334,143.2043972424073
2018-10-21,2018-10-21,64.16010391030899,143.021550613892
2018-10-28,2018-10-28,64.31652966863601,143.71888746984533
2018-11-04,2018-11-04,63.66814999406669,137.81169443571204
2018-11-11,2018-11-11,63.60536559705418,137.11105692189787
2018-11-18,2018-11-18,62.426890455142754,133.94242390331243
2018-11-25,2018-11-25,62.62490910292854,133.22704798291943
2018-12-02,2018-12-02,62.08367792327131,131.30534315113755
2018-12-09,2018-12-09,61.85990121239335,130.60769556423162
2018-12-16,2018-12-16,61.335194647842805,129.67919395465995
2018-12-23,2018-12-23,61.05676040929275,130.1530871890741
2018-12-30,2018-12-30,62.90614954577219,134.7191806102362
2019-01-06,2019-01-06,61.266967265913216,134.06291363673503
2019-01-13,2019-01-13,59.59721893023623,128.6263533917655
