,date,price_float
165,2015-09-04,87.48717948717949
166,2015-09-05,97.8
167,2015-09-06,86.27027027027027
168,2015-09-07,80.23648648648648
169,2015-09-08,78.27586206896552
170,2015-09-09,78.45901639344262
171,2015-09-10,80.71672354948805
172,2015-09-11,84.86746987951807
173,2015-09-12,84.16078431372549
174,2015-09-13,79.58160237388724
175,2015-09-14,78.12206572769954
176,2015-09-15,77.62929061784897
177,2015-09-16,78.66587677725119
178,2015-09-17,79.49747474747475
179,2015-09-18,82.76190476190476
180,2015-09-19,84.34670487106017
181,2015-09-20,80.4220623501199
182,2015-09-21,78.94669509594883
183,2015-09-22,77.06286836935168
184,2015-09-23,77.26810176125245
185,2015-09-24,77.25469728601253
186,2015-09-25,81.32293986636971
187,2015-09-26,80.38293216630197
